"By variant","By gender","By age",2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067
"Medium","Male","35-39 years old",2089929,2116733,2098941,2017000,1933438,1840625,1772841,1749294,1763739,1776575,1831443,1897247,1944877,1975243,1997687,1968687,1919069,1856253,1796916,1726558,1630623,1526646,1437973,1331951,1237436,1195968,1188728,1168418,1163727,1181898,1187918,1175370,1166149,1164188,1137484,1092604,1033379,977108,908937,840030,792183,769369,763163,771061,792687,820840,848347,872437,890388,901471,905266
"Medium","Male","40-44 years old",2083256,2023646,1973968,1995884,2042064,2093362,2114237,2096884,2015576,1932538,1840241,1772807,1749423,1763968,1776963,1831873,1897756,1945579,1976166,1998830,1970164,1920836,1858285,1799174,1729049,1633345,1529562,1441030,1335173,1240762,1199320,1192131,1171921,1167287,1185522,1191646,1179199,1170039,1168139,1141522,1096694,1037494,981223,913057,844126,796237,773401,767198,775120,796786,824997
"Medium","Male","45-49 years old",2278705,2311564,2281831,2238898,2157304,2085108,2020746,1971513,1993418,2039546,2090810,2111815,2094674,2013926,1931395,1839682,1772705,1749671,1764465,1777797,1832891,1898989,1947103,1978007,2000970,1972743,1923797,1861589,1802769,1732938,1637500,1533929,1445541,1339863,1245554,1204127,1196999,1176916,1172360,1190686,1196947,1184633,1175555,1173741,1147236,1102464,1043285,986993,918807,849815,801848
"Medium","Male","50-54 years old",2107628,2076615,2157585,2183366,2230891,2271703,2299857,2270944,2228682,2148181,2076862,2013340,1964777,1986802,2033034,2084454,2105867,2089414,2009786,1928258,1837581,1771386,1748866,1764018,1777811,1833156,1899538,1948044,1979364,2002712,1975070,1926640,1864907,1806505,1737099,1642070,1538826,1450670,1345289,1251182,1209817,1202800,1182920,1178481,1196926,1203383,1191265,1182300,1180596,1154246,1109562
"Medium","Male","55-59 Years old",2102223,2163953,2145552,2126847,2080597,2080051,2049149,2130028,2156972,2205104,2246537,2275441,2248195,2207500,2129083,2059531,1997688,1950699,1973433,2020190,2072083,2094208,2078690,2000570,1920437,1831210,1766141,1744370,1760018,1774404,1830034,1896700,1945631,1977431,2001234,1974340,1926625,1865569,1807778,1739004,1644593,1541887,1454156,1349283,1255568,1214384,1207552,1187954,1183683,1202270,1208953
"Medium","Male","60-64 Years old",1554982,1669024,1788387,1877159,1999159,2048214,2110076,2094521,2078682,2036051,2037434,2009459,2090236,2118655,2167664,2209972,2239924,2214985,2176416,2100757,2033603,1974000,1928970,1952578,1999949,2052384,2075383,2061071,1984880,1906540,1819158,1755527,1734705,1750949,1766018,1821952,1888897,1938265,1970602,1994940,1968945,1922140,1861986,1805010,1737084,1643540,1541623,1454528,1350369,1257228,1216334
"Medium","Male","65-69 years old",1098706,1133201,1178002,1279317,1396152,1484431,1596686,1713880,1802584,1922947,1972882,2035312,2022705,2010216,1972096,1975746,1951358,2031913,2061907,2111795,2154938,2185931,2163714,2127779,2055701,1991756,1935219,1892945,1917809,1965913,2018873,2042741,2029748,1955994,1880099,1795334,1733793,1714315,1731327,1747244,1803465,1870583,1920344,1953223,1978090,1953226,1907689,1848827,1793058,1726391,1634141
"Medium","Male","70-74 Years old",800334,826425,877165,929580,976852,1016354,1051130,1095557,1193444,1304810,1390409,1498388,1610854,1697940,1814656,1864252,1926203,1916445,1907639,1875003,1881079,1861188,1940709,1972217,2022784,2066462,2098390,2079772,2047293,1980161,1920674,1868392,1830000,1856476,1905203,1958435,1983068,1971545,1901254,1829087,1748375,1690126,1672735,1690759,1707752,1764155,1831137,1881070,1914414,1939725,1916402
"Medium","Male","75-79 Years old",620799,664618,671162,683099,672023,694038,721066,767865,816218,857758,896068,930166,972590,1064249,1165851,1245841,1345657,1449149,1532252,1641657,1688845,1748404,1741331,1737155,1712432,1721373,1708087,1785049,1818030,1868649,1911901,1943878,1930134,1902429,1842945,1790529,1745120,1712929,1741548,1790545,1843213,1868196,1858509,1793970,1728251,1654804,1602451,1588609,1608046,1626518,1682598
"Medium","Male","80 Years old & over",482218,525329,574025,620665,667730,732051,791931,826002,862665,880774,941026,1001651,1057163,1116349,1154398,1225519,1293261,1363724,1478982,1583698,1697364,1823988,1954603,2104798,2266945,2380717,2515366,2593776,2691419,2780983,2857483,2933163,3040063,3125805,3221428,3300384,3370328,3429153,3458806,3471377,3477806,3485430,3497966,3541825,3590558,3638736,3664174,3663671,3642719,3626646,3604558
"Medium","Male","80-84 Years old",328523,355962,386322,410587,433874,473391,509097,515186,525703,517664,540070,566420,605909,646765,679065,713801,745002,782638,862444,947073,1016175,1101070,1188310,1262460,1357678,1398932,1452552,1448303,1449895,1436064,1447795,1443169,1513436,1546647,1595090,1635604,1665920,1658799,1637812,1590336,1548916,1514387,1492115,1523168,1571053,1621224,1645520,1638014,1583153,1528548,1467872
"Medium","Male","85-89 year old",115958,128560,142392,161308,181442,200205,217674,237658,254009,269926,297245,321506,325669,333208,328179,347650,369460,397359,426197,446072,473048,497353,525615,585209,644374,695085,756316,818491,875665,946627,976491,1017707,1015114,1021225,1018538,1030928,1034592,1090612,1119854,1160527,1193098,1217723,1217442,1204544,1173394,1147069,1127169,1117448,1148276,1190207,1232394
"Medium","Male","90-94 Years old",30906,32990,37438,40832,44310,49728,55586,62288,71168,80442,89265,97424,107068,115122,123099,137175,149278,150957,154717,152068,164674,177993,192424,207341,215635,231520,245704,261594,295472,326154,353956,386911,419849,453178,492972,508236,532012,529929,536630,540226,549345,556162,590635,610071,636142,655780,670772,674019,668020,653034,641320
"Medium","Male","95-99 Years old",6289,7260,7246,7236,7361,7875,8587,9895,10809,11742,13347,15072,17091,19703,22374,24953,27310,30232,32678,35135,39711,43447,43646,44774,43827,48945,53944,58549,63338,65235,71221,76382,81941,94233,104140,113657,124822,135794,148106,162239,166627,175293,173922,177650,180858,184873,189095,202838,210744,221200,228429
"Medium","Male","100 Years old & over",542,557,627,702,743,852,987,975,976,1000,1099,1229,1426,1551,1681,1940,2211,2538,2946,3350,3756,4125,4608,5014,5431,6235,6850,6839,7049,6903,8020,8994,9723,10522,10688,11959,12982,14019,16404,18049,19820,21865,23852,26392,29111,29790,31618,31352,32526,33657,34543
